0.56,0.56,0.56,0.55,0.55,0.55,0.54,0.53,0.52,0.52,0.51,0.5,0.49,0.47,0.46,0.45,0.44,0.43,0.41,0.41,0.39,0.35,0.32,0.24,0.19
0.62,0.62,0.62,0.62,0.61,0.61,0.6,0.59,0.57,0.57,0.56,0.55,0.53,0.51,0.5,0.48,0.47,0.45,0.43,0.43,0.41,0.36,0.32,0.24,0.19
0.66,0.66,0.65,0.65,0.65,0.64,0.63,0.61,0.6,0.59,0.59,0.57,0.56,0.52,0.52,0.49,0.48,0.47,0.45,0.44,0.42,0.37,0.33,0.24,0.19
0.73,0.72,0.72,0.72,0.71,0.7,0.69,0.67,0.65,0.64,0.63,0.61,0.6,0.56,0.55,0.52,0.51,0.49,0.47,0.46,0.43,0.38,0.33,0.24,0.19
0.78,0.78,0.77,0.77,0.76,0.75,0.73,0.71,0.69,0.68,0.67,0.65,0.63,0.58,0.57,0.54,0.52,0.5,0.48,0.47,0.44,0.38,0.34,0.24,0.19
0.83,0.83,0.82,0.81,0.81,0.79,0.77,0.75,0.72,0.71,0.7,0.67,0.65,0.6,0.59,0.56,0.54,0.52,0.49,0.48,0.45,0.39,0.34,0.24,0.19
0.94,0.94,0.93,0.92,0.91,0.88,0.85,0.82,0.79,0.77,0.76,0.72,0.69,0.63,0.62,0.58,0.56,0.54,0.51,0.5,0.46,0.39,0.35,0.24,0.19
1,1,0.98,0.97,0.96,0.93,0.9,0.86,0.82,0.8,0.78,0.75,0.71,0.65,0.64,0.59,0.57,0.55,0.51,0.5,0.47,0.4,0.35,0.24,0.19
1.14,1.14,1.11,1.09,1.07,1.03,0.98,0.93,0.88,0.86,0.84,0.79,0.75,0.68,0.66,0.61,0.59,0.56,0.53,0.52,0.48,0.4,0.35,0.24,0.19
1.22,1.2,1.18,1.15,1.13,1.08,1.02,0.96,0.91,0.88,0.86,0.81,0.76,0.69,0.67,0.62,0.59,0.57,0.53,0.52,0.48,0.4,0.35,0.24,0.19
1.35,1.34,1.29,1.27,1.23,1.16,1.09,1.02,0.95,0.92,0.89,0.84,0.79,0.7,0.68,0.63,0.6,0.57,0.54,0.53,0.48,0.41,0.35,0.24,0.19
1.54,1.51,1.44,1.4,1.35,1.25,1.16,1.07,0.99,0.96,0.92,0.86,0.81,0.72,0.7,0.64,0.61,0.58,0.54,0.53,0.49,0.41,0.35,0.24,0.19
1.72,1.68,1.57,1.51,1.45,1.32,1.21,1.11,1.02,0.98,0.95,0.88,0.82,0.72,0.7,0.65,0.61,0.58,0.55,0.53,0.49,0.41,0.35,0.24,0.19
1.8,1.75,1.63,1.56,1.49,1.35,1.23,1.12,1.03,0.99,0.95,0.89,0.83,0.73,0.71,0.65,0.62,0.59,0.55,0.53,0.49,0.41,0.35,0.24,0.19
1.97,1.9,1.74,1.65,1.56,1.4,1.26,1.14,1.05,1,0.96,0.89,0.83,0.73,0.71,0.65,0.62,0.59,0.55,0.54,0.49,0.41,0.35,0.24,0.19
2.12,2.03,1.82,1.71,1.61,1.43,1.28,1.16,1.06,1.01,0.97,0.9,0.84,0.73,0.71,0.65,0.62,0.59,0.55,0.54,0.49,0.41,0.35,0.24,0.19
2.18,2.07,1.85,1.73,1.62,1.44,1.29,1.16,1.06,1.02,0.97,0.9,0.84,0.74,0.71,0.66,0.62,0.59,0.55,0.54,0.49,0.41,0.35,0.24,0.19
2.45,2.28,1.96,1.82,1.69,1.48,1.31,1.18,1.07,1.03,0.98,0.91,0.84,0.74,0.72,0.66,0.62,0.59,0.55,0.54,0.49,0.41,0.35,0.24,0.19
